category;name;rus;eng
layout;copyright;<span class="copyright-item">Разработано ASPirine.</span> <span class="copyright-item">Все игровые материалы принадлежат miHoYo.</span> <span class="copyright-item">Версия <span class="gi-version"></span>.</span>;<span class="copyright-item">Developed by ASPirine.</span> <span class="copyright-item">All game resources are property of miHoYo.</span> <span class="copyright-item">Version <span class="gi-version"></span>.</span>
tab_header;stat_view;Характеристики;Attributes
tab_header;features;Показатели;Features
tab_header;suggest-artifact-set;Подбор комплекта;Artifact set optimizer
tab_header;suggest-artifact-substat;Бонусы доп. характеристики;Substat bonuses
tab_header;share_view;Мои персонажи;My characters
tab_header;char;Персонаж;Character
tab_header;weapon;Оружие;Weapon
tab_header;artifacts;Артефакты;Artifacts
tab_header;enemy;Противник;Enemy
tab_header;settings_view;Настройки;Settings
tab_header;rotation;Ротация;Rotation
tab_content;not_avaliable;Недоступно в текущей версии;Not available in this version
tab_content;under_development;Находится в разработке. Возможны ошибки и недоработки.;Under development. Things can work wrong or bugged.
