category;name;rus;eng
set_bonus;adventurer_2;Искатель приключений (2 предмета);Adventurer (2-Piece bonus)
set_descr;adventurer_2;Увеличивает name{макс. HP} на %{hp} ед.;name{Max HP} increased by %{hp}.
set_bonus;adventurer_4;Искатель приключений (4 предмета);Adventurer (4-Piece bonus)
set_descr;adventurer_4;В течение 5 сек. после открытия любого сундука восстанавливает %{text_percent} name{HP}.;Opening a chest regenerates 30% name{Max HP} over %{text_percent}s.
set_bonus;archaic_petra_2;Архаичный камень (2 предмета);Archaic Petra (2-Piece bonus)
set_descr;archaic_petra_2;Даёт %{dmg_geo} бонус geo{Гео урона}.;Gain a %{dmg_geo} geo{Geo DMG Bonus}.
set_bonus;archaic_petra_4;Архаичный камень (4 предмета);Archaic Petra (4-Piece bonus)
set_descr;archaic_petra_4;Подобранный name{элементальный осколок}, образованный реакцией geo{Кристалл}, даёт %{text_percent|35} бонус name{элементального урона} соответствующего элемента всем членам отряда на 10 сек. Одновременно можно иметь бонус урона только одного элемента.;Upon obtaining an name{Elemental Shard} created through a geo{Crystallize Reaction}, all party members gain a %{text_percent|35} name{DMG Bonus} for that particular element for 10s. Only one form of name{Elemental DMG Bonus} can be gained in this manner at any one time.
set_bonus;berserker_2;Берсерк (2 предмета);Berserker (2-Piece bonus)
set_descr;berserker_2;Увеличивает name{шанс крит. попадания} на %{crit_rate}.;name{CRIT Rate} +%{crit_rate}
set_bonus;berserker_4;Берсерк (4 предмета);Berserker (4-Piece bonus)
set_descr;berserker_4;Увеличивает name{шанс крит. попадания} на %{crit_rate} при name{HP} ниже value{70%}.;When name{HP} is below value{70%}, name{CRIT Rate} increases by an additional %{crit_rate}.
set_bonus;blizzard_strayer_2;Заблудший в метели (2 предмета);Blizzard Strayer (2-Piece bonus)
set_descr;blizzard_strayer_2;Даёт %{dmg_cryo} бонус cryo{Крио урона}.;cryo{Cryo DMG Bonus} +%{dmg_cryo}
set_bonus;blizzard_strayer_4;Заблудший в метели (4 предмета);Blizzard Strayer (4-Piece bonus)
set_descr;blizzard_strayer_4_1;Атаки по противникам с эффектом cryo{Крио} увеличивают name{шанс крит. попадания} на %{crit_rate_enemy}.;When a character attacks an opponent affected by cryo{Cryo}, their name{CRIT Rate} is increased by %{crit_rate_enemy}.
set_descr;blizzard_strayer_4_2;Если противник имеет статус cryo{Заморозка}, то дополнительно увеличивает name{шанс крит. попадания} на %{crit_rate_enemy}.;If the opponent is cryo{Frozen}, name{CRIT Rate} is increased by an additional %{crit_rate_enemy}.
set_bonus;bloodstained_chivalry_2;Рыцарь крови (2 предмета);Bloodstained Chivalry (2-Piece bonus)
set_descr;bloodstained_chivalry_2;Увеличивает name{физ. урон} на %{dmg_phys}.;name{Physical DMG} +%{dmg_phys}
set_bonus;bloodstained_chivalry_4;Рыцарь крови (4 предмета);Bloodstained Chivalry (4-Piece bonus)
set_descr;bloodstained_chivalry_4;После победы над противником увеличивает урон name{заряженной атаки} на %{dmg_charged} и обнуляет стоимость выносливости name{заряженной атаки} на 10 сек.;After defeating an opponent, increases name{Charged Attack DMG} by %{dmg_charged}, and reduces its name{Stamina cost} to 0 for 10s.
set_bonus;brave_heart_2;Душа храбреца (2 предмета);Brave Heart (2-Piece bonus)
set_descr;brave_heart_2;Увеличивает name{силу атаки} на %{atk_percent}.;name{ATK} +%{atk_percent}.
set_bonus;brave_heart_4;Душа храбреца (4 предмета);Brave Heart (4-Piece bonus)
set_descr;brave_heart_4;Увеличивает на %{dmg_all} урон против врагов с name{HP} выше value{50%}.;Increases DMG by %{dmg_all} against opponents with more than value{50%} name{HP}.
set_bonus;crimson_witch_of_flames_2;Горящая алая ведьма (2 предмета);Crimson Witch of Flames (2-Piece bonus)
set_descr;crimson_witch_of_flames_2;Даёт %{dmg_pyro} бонус pyro{Пиро урона}.;pyro{Pyro DMG Bonus} +%{dmg_pyro}
set_bonus;crimson_witch_of_flames_4;Горящая алая ведьма (4 предмета);Crimson Witch of Flames (4-Piece bonus)
