category;name;rus;eng
artifact_set;resolution_of_sojourner;Решимость временщика;Resolution of Sojourner
artifact_set;brave_heart;Душа храбреца;Brave Heart
artifact_set;defenders_will;Воля защитника;Defender's Will
artifact_set;tiny_miracle;Маленькое чудо;Tiny Miracle
artifact_set;berserker;Берсерк;Berserker
artifact_set;martial_artist;Воин;Martial Artist
artifact_set;instructor;Инструктор;Instructor
artifact_set;gambler;Азартный игрок;Gambler
artifact_set;the_exile;Изгнанник;The Exile
artifact_set;adventurer;Искатель приключений;Adventurer
artifact_set;lucky_dog;Везунчик;Lucky Dog
artifact_set;scholar;Учёный;Scholar
artifact_set;traveling_doctor;Целитель;Traveling Doctor
artifact_set;blizzard_strayer;Заблудший в метели;Blizzard Strayer
artifact_set;thundersoother;Усмиряющий гром;Thundersoother
artifact_set;lavawalker;Ступающий по лаве;Lavawalker
artifact_set;maiden_beloved;Возлюбленная юная дева;Maiden Beloved
artifact_set;gladiators_finale;Конец гладиатора;Gladiator's Finale
artifact_set;viridescent_venerer;Изумрудная тень;Viridescent Venerer
artifact_set;wanderers_troupe;Странствующий ансамбль;Wanderer's Troupe
artifact_set;thundering_fury;Громогласный рёв ярости;Thundering Fury
artifact_set;crimson_witch_of_flames;Горящая алая ведьма;Crimson Witch of Flames
artifact_set;noblesse_oblige;Церемония древней знати;Noblesse Oblige
artifact_set;bloodstained_chivalry;Рыцарь крови;Bloodstained Chivalry
artifact_set;prayers_for_illumination;Шаман огня;Prayers for Illumination
artifact_set;prayers_for_destiny;Шаман воды;Prayers for Destiny
artifact_set;prayers_for_wisdom;Шаман молнии;Prayers for Wisdom
artifact_set;prayers_to_springtime;Шаман льда;Prayers to Springtime
artifact_set;archaic_petra;Архаичный камень;Archaic Petra
artifact_set;retracing_bolide;Встречная комета;Retracing Bolide
artifact_set;heart_of_depth;Сердце глубин;Heart of Depth
artifact_set;tenacity_of_the_millelith;Стойкость Миллелита;Tenacity of the Millelith
artifact_set;pale_flame;Бледный огонь;Pale Flame
artifact_set;shimenawas_reminiscence;Воспоминания Симэнавы;Shimenawa's Reminiscence
artifact_set;emblem_of_severed_fate;Эмблема рассечённой судьбы;Emblem of Severed Fate
artifact_set;husk_of_opulent_dreams;Кокон сладких грёз;Husk of Opulent Dreams
artifact_set;ocean_hued_clam;Моллюск морских красок;Ocean-Hued Clam
artifact_set;vermillion_hereafter;Киноварное загробье;Vermillion Hereafter
artifact_set;echoes_of_an_offering;Отголоски подношения;Echoes of an Offering
artifact_set;deepwood_memories;Воспоминания дремучего леса;Deepwood Memories
artifact_set;gilded_dreams;Позолоченные сны;Gilded Dreams
artifact_set;desert_pavilion_chronicle;Хроники Чертогов в пустыне;Desert Pavilion Chronicle
artifact_set;flower_of_paradise_lost;Цветок потерянного рая;Flower of Paradise Lost
artifact_set;nymphs_dream;Сон нимфы;Nymph's Dream
artifact_set;vourukashas_glow;Сияние Вурукаши;Vourukasha's Glow
artifact_set;marechaussee_hunter;Охотник Сумеречного двора;Marechaussee Hunter
artifact_set;golden_troupe;Золотая труппа;Golden Troupe
artifact_set;song_of_days_past;Песнь былых времён;Song of Days Past
artifact_set;nighttime_whispers_in_the_echoing_woods;Ночной шёпот в Лесу откликающегося эха;Nighttime Whispers in the Echoing Woods
artifact_set;fragment_of_harmonic_whimsy;Фрагмент гармонической фантазии;Fragment of Harmonic Whimsy
artifact_set;unfinished_reverie;Незаконченные грёзы;Unfinished Reverie
artifact_set;scroll_of_the_hero_of_cinder_city;Свиток героя сожжённого города;Scroll of the Hero of Cinder City
artifact_set;obsidian_codex;Обсидиановый фолиант;Obsidian Codex
artifact_set;long_nights_oath;Клятва долгой ночи;Long Night's Oath
artifact_set;finale_of_the_deep_galleries;Финал галерей глубин;Finale of the Deep Galleries
artifact_set;night_of_the_skys_unveiling;Ночь открытия неба;Night of the Sky's Unveiling
artifact_set;silken_moons_serenade;Серенада шёлковой луны;Silken Moon's Serenade
