category;name;rus;eng
char_name;aino;Айно;Aino
char_name;albedo;Альбедо;Albedo
char_name;alhaitham;Аль-Хайтам;Alhaitham
char_name;aloy;Элой;Aloy
char_name;amber;Эмбер;Amber
char_name;arataki_itto;Итто;Arataki Itto
char_name;arlecchino;Арлекино;Arlecchino
char_name;baizhu;Бай Чжу;Baizhu
char_name;barbara;Барбара;Barbara
char_name;beidou;Бэй Доу;Beidou
char_name;bennett;Беннет;Bennett
char_name;candace;Кандакия;Candace
char_name;charlotte;Шарлотта;Charlotte
char_name;chasca;Часка;Chasca
char_name;chevreuse;Шеврёз;Chevreuse
char_name;chiori;Тиори;Chiori
char_name;chongyun;Чун Юнь;Chongyun
char_name;citlali;Ситлали;Citlali
char_name;clorinde;Клоринда;Clorinde
char_name;collei;Коллеи;Collei
char_name;cyno;Сайно;Cyno
char_name;dahlia;Далия;Dahlia
char_name;dehya;Дэхья;Dehya
char_name;diluc;Дилюк;Diluc
char_name;diona;Диона;Diona
char_name;dori;Дори;Dori
char_name;emilie;Эмилия;Emilie
char_name;escoffier;Эскофье;Escoffier
char_name;eula;Эола;Eula
char_name;faruzan;Фарузан;Faruzan
char_name;fischl;Фишль;Fischl
char_name;flins;Флинс;Flins
char_name;freminet;Фремине;Freminet
char_name;furina;Фурина;Furina
char_name;gaming;Ка Мин;Gaming
char_name;ganyu;Гань Юй;Ganyu
char_name;gorou;Горо;Gorou
char_name;hu_tao;Ху Тао;Hu Tao
char_name;iansan;Иансан;Iansan
char_name;ifa;Ифа;Ifa
char_name;ineffa;Инеффа;Ineffa
char_name;jean;Джинн;Jean
char_name;kachina;Качина;Kachina
char_name;kaedehara_kazuha;Кадзуха;Kaedehara Kazuha
char_name;kaeya;Кэйа;Kaeya
char_name;kamisato_ayaka;Аяка;Kamisato Ayaka
char_name;kamisato_ayato;Аято;Kamisato Ayato
char_name;kaveh;Кавех;Kaveh
char_name;keqing;Кэ Цин;Keqing
char_name;kinich;Кинич;Kinich
char_name;kirara;Кирара;Kirara
char_name;klee;Кли;Klee
char_name;kujou_sara;Сара;Kujou Sara
char_name;kuki_shinobu;Синобу;Kuki Shinobu
char_name;lan_yan;Лань Янь;Lan Yan
char_name;lauma;Лаума;Lauma
char_name;layla;Лайла;Layla
char_name;lisa;Лиза;Lisa
char_name;lynette;Линетт;Lynette
char_name;lyney;Лини;Lyney
char_name;mavuika;Мавуика;Mavuika
char_name;mika;Мика;Mika
char_name;mona;Мона;Mona
char_name;mualani;Муалани;Mualani
char_name;nahida;Нахида;Nahida
char_name;navia;Навия;Navia
char_name;nefer;Нефер;Nefer
char_name;neuvillette;Нёвиллет;Neuvillette
char_name;nilou;Нилу;Nilou
char_name;ningguang;Нин Гуан;Ningguang
char_name;noelle;Ноэлль;Noelle
char_name;ororon;Оророн;Ororon
char_name;qiqi;Ци Ци;Qiqi
char_name;raiden_shogun;Райдэн;Raiden Shogun
char_name;razor;Рэйзор;Razor
char_name;rosaria;Розария;Rosaria
char_name;sangonomiya_kokomi;Кокоми;Sangonomiya Kokomi
char_name;sayu;Саю;Sayu
char_name;sethos;Сетос;Sethos
char_name;shenhe;Шэнь Хэ;Shenhe
char_name;shikanoin_heizou;Хэйдзо;Shikanoin Heizou
char_name;sigewinne;Сиджвин;Sigewinne
char_name;skirk;Скирк;Skirk
char_name;sucrose;Сахароза;Sucrose
char_name;tartaglia;Тарталья;Tartaglia
char_name;thoma;Тома;Thoma
char_name;tighnari;Тигнари;Tighnari
char_name;traveler;Путешественник;Traveler
char_name;traveler;Путешественник;Traveler
char_name;traveler;Путешественник;Traveler
char_name;traveler;Путешественник;Traveler
char_name;traveler;Путешественник;Traveler
char_name;traveler;Путешественник;Traveler
char_name;varesa;Вареса;Varesa
char_name;venti;Венти;Venti
char_name;wanderer;Странник;Wanderer
char_name;wriothesley;Ризли;Wriothesley
char_name;xiangling;Сян Лин;Xiangling
char_name;xianyun;Сянь Юнь;Xianyun
char_name;xiao;Сяо;Xiao
char_name;xilonen;Шилонен;Xilonen
char_name;xingqiu;Син Цю;Xingqiu
char_name;xinyan;Синь Янь;Xinyan
char_name;yae_miko;Яэ Мико;Yae Miko
char_name;yanfei;Янь Фэй;Yanfei
char_name;yaoyao;Яо Яо;Yaoyao
char_name;yelan;Е Лань;Yelan
char_name;yoimiya;Ёимия;Yoimiya
char_name;yumemizuki_mizuki;Мидзуки;Yumemizuki Mizuki
char_name;yun_jin;Юнь Цзинь;Yun Jin
char_name;zhongli;Чжун Ли;Zhongli
