category;name;rus;eng
talent_name;aino_precision_hydronic_cooler;Точный водоохладитель;Precision Hydronic Cooler
talent_descr;aino_precision_hydronic_cooler;<p>Айно задействует name{Охладительного утёнка}, сверхразбрызгиватель особой сборки, который образует name{Зону точечного охлаждения}.<br>Во время действия Охладительный утёнок периодически выпускает во врагов поблизости водяные снаряды, нанося hydro{Гидро урон}.</p>;<p>Aino deploys a custom water-spraying device, the name{Cool Your Jets Ducky} to establish a name{Focused Hydronic Cooling Zone}.<br>While active, the Cool Your Jets Ducky will periodically fire water balls at nearby opponents, dealing hydro{Hydro DMG}.</p>
talent_name;aino_bish_bash_bosh_repair;Починка методом «бах-бум-бац»;Bish-Bash-Bosh Repair
talent_descr;aino_bish_bash_bosh_repair;<p>name{Обычная атака:}<br>До трёх последовательных ударов.</p><p>name{Заряженная атака:}<br>Вращающаяся атака по окружающим врагам, на которую непрерывно тратится выносливость.<br>После вращения проводит дополнительную мощную рубящую атаку.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 3 consecutive strikes.</p><p>name{Charged Attack}<br>Drains Stamina over time to perform continuous spinning attacks against all nearby opponents.<br>At the end of the sequence, performs a more powerful slash. </p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;aino_musecatcher;Ловец вдохновения;Musecatcher
talent_descr;aino_musecatcher;<p>Айно бросает вперёд name{Ловца вдохновения}, который наносит hydro{Гидро урон} и увлекает её за собой. Когда движение прекращается, Айно наносит hydro{Гидро урон по площади} врагам поблизости.<br>При долгом нажатии способ активации навыка меняется.</p><p>name{Долгое нажатие}<br>Переходит в режим прицеливания, в котором можно выбрать направление броска Ловца вдохновения.</p>;<p>Aino throws a name{Musecatcher} forward, dealing hydro{Hydro DMG} and dragging her along behind it. When the dragging stops, Aino deals hydro{AoE Hydro DMG} to nearby opponents.<br>Holding the Skill will cause it to behave differently.</p><p>name{Hold}<br>Enter Aiming Mode to adjust the Musecatcher's throwing direction.</p>
talent_name;albedo_tectonic_tide;Ритуал рождения: Тектоническая волна;Rite of Progeniture: Tectonic Tide
talent_descr;albedo_tectonic_tide;<p>Альбедо выпускает перед собой Гео кристаллы, которые взрываются и наносят geo{Гео урон по площади}.<br>Если на поле боя существует созданный самим Альбедо Цветок солнца, то в его зоне генерируются 7 Цветков неизбежности, которые мгновенно расцветают и наносят geo{Гео урон по площади}.<br>Урон от Тектонической волны и Цветков неизбежности не генерирует Цветки мимолётности.</p><p><i>По команде Принца мела тектоническая волна созидания переливается в жизнь.</i></p>;<p>Under Albedo's command, Geo crystals surge and burst forth, dealing geo{AoE Geo DMG} in front of him.<br>If a Solar Isotoma created by Albedo himself is on the field, 7 Fatal Blossoms will be generated in the Solar Isotoma field, bursting violently into bloom and dealing geo{AoE Geo DMG}.</p><p>Tectonic Tide DMG and Fatal Blossom DMG will not generate Transient Blossoms.</p><p><i>Under the Kreideprinz's command, the tectonic tide of creation seethes into life.</i></p>
talent_name;albedo_favonius_bladework_weiss;Фехтовальный стиль Фавония: Мел;Favonius Bladework - Weiss
talent_descr;albedo_favonius_bladework_weiss;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;albedo_solar_isotoma;Абиогенез: Цветок солнца;Abiogenesis: Solar Isotoma
talent_descr;albedo_solar_isotoma;<p>С помощью алхимии Альбедо создаёт Цветок солнца, который наносит geo{Гео урон по площади}.</p><p>name{Цветок солнца} имеет следующие свойства:<br>· Когда противники в зоне с центром на Цветке солнца получают урон, Цветок солнца генерирует Цветки мимолётности, наносящие geo{Гео урон по площади}. Наносимый урон зависит от защиты Альбедо.<br>· Цветки мимолётности могут генерироваться не чаще чем раз в 2 сек.<br>· Когда персонаж встаёт на Цветок солнца, он испускает энергию Гео, чтобы создать кристаллическую платформу, которая поднимает персонажа на определённую высоту. Одновременно может существовать только одна кристаллическая платформа.<br>· Одновременно может существовать только один созданный самим Альбедо Цветок солнца, и он считается geo{Гео конструкцией}.</p><p>name{Долгое нажатие} позволяет выбрать место эффекта навыка.</p><p><i>Необычные свойства этого Гео цветка хорошо отражают цели алхимии. Родиться в земле, стремиться ввысь к небесам и стать солнцем.</i></p>;<p>Albedo creates a Solar Isotoma using alchemy, which deals geo{AoE Geo DMG} on appearance.</p><p>name{Solar Isotoma}<br>has the following properties:<br>·When opponents within the Solar Isotoma field take DMG, the Solar Isotoma will generate Transient Blossoms which deal geo{AoE Geo DMG}. DMG dealt scales off Albedo's DEF. <br>·Transient Blossoms can only be generated once every 2s.<br>·When a character is located at the locus of the Solar Isotoma, the Solar Isotoma will accumulate Geo power to form a crystallized platform that lifts the character up to a certain height. Only one crystallized platform can exist at a time.<br>·Solar Isotoma is considered a geo{Geo construct}. Only one Solar Isotoma created by Albedo himself can exist at a time. </p><p>name{Hold} to designate the location of the skill.</p><p><i>This Geo bloom has an unusual property mirrored in the aim of alchemy. To rise from the earth, soar into the sky, and become the sun.</i></p>
talent_name;alhaitham_fetters_of_phenomena;Особое поле: Взаимосвязь феноменов;Particular Field: Fetters of Phenomena
talent_descr;alhaitham_fetters_of_phenomena;<p>Создаёт Особое связующее поле и наносит многократный dendro{Дендро урон по площади}.<br>Если во время активации навыка существуют Зеркала света, все зеркала израсходуются, увеличивая количество раз нанесения урона.<br>Через 2 сек. после активации этого навыка, если израсходованных зеркал 0/1/2/3, создаётся 3/2/1/0 новых Зеркал света соответственно.</p><p><i>«Учёный, который стремится к мудрости, должен быть готов видеть в каждом прочтённом слове врага. Только так можно избавиться от предрассудков».</i></p>;"<p>Creates a Particular Binding Field and deals multiple instances of dendro{AoE Dendro DMG}.<br>If Chisel-Light Mirrors exist when this ability is unleashed, all such Mirrors will be consumed and increase the number of DMG instances dealt.<br>2s after this ability is unleashed, if 0/1/2/3 Mirrors were consumed, Alhaitham will generate 3/2/1/0 new Mirrors in turn.</p><p><i>""If a researcher makes wisdom their goal, then they should be prepared to make an enemy of every word they read. Only then can they avoid bias.""</i></p>"
talent_name;alhaitham_abductive_reasoning;Абдуктивная аргументация;Abductive Reasoning
talent_descr;alhaitham_abductive_reasoning;<p>name{Обычная атака:}<br>До пяти быстрых ударов мечом.</p><p>name{Заряженная атака:}<br>Два быстрых взмаха мечом, на которые тратится определённое количество выносливости.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack}<br>Performs up to 5 rapid strikes.</p><p>name{Charged Attack}<br>Consumes a certain amount of Stamina to unleash 2 rapid sword strikes.</p><p>name{Plunging Attack}<br>Plunges from mid-air to strike the ground below, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;alhaitham_an_elaboration_on_form;Универсалия: Совершенствование формы;Universality: An Elaboration on Form
